a,b,km,csi
SL005,SL029,9.2293495207681,0.8461538461538461
SL005,SL032,1.2562548044286128,0.8648648648648649
SL005,SL033,9.204454411174362,0.8079268292682927
SL005,SL034,2.8714551033293385,0.7737556561085973
SL005,SL035,4.247604468785404,0.8627049180327869
SL005,SL036,8.327439299219856,0.8961038961038961
SL005,SL037,17.552948227883054,0.9030303030303031
SL005,SL038,3.0780727205107055,0.9385964912280702
SL005,SL040,1.5682240367379225,0.816933638443936
SL005,SL041,6.239184850585936,0.911660777385159
SL005,SL042,8.975563864230372,0.851764705882353
SL005,SL044,11.017921099891318,0.7303609341825902
SL005,SL045,16.110328994610096,0.8870967741935484
SL005,SL050,13.226794822891426,0.3644859813084112
SL005,SL051,18.813636058665207,0.38095238095238093
SL005,SL054,20.212600864713778,0.8387096774193549
SL005,SL055,8.973876752429774,0.9148264984227129
SL005,SL056,2.719487560352429,0.7203166226912929
SL005,SL062,5.1142750828961825,0.8065693430656934
SL005,SL068,4.138645531366139,0.9323671497584541
SL005,SL017,19.058332141427595,0.8955916473317865
SL006,SL007,19.07655844513421,0.5416666666666666
SL006,SL008,11.500908453736681,0.5392670157068062
SL006,SL009,12.410272814806044,0.6666666666666666
SL006,SL011,4.098963925674658,0.5538720538720538
SL006,SL012,7.752235888278817,0.4464555052790347
SL006,SL015,18.33821147959718,0.7025316455696202
SL006,SL016,15.836384011965036,0.48465266558966075
SL006,SL018,11.443482689299746,0.3413333333333333
SL006,SL019,13.108714558988835,0.2955390334572491
SL006,SL020,13.801677206756134,0.3664383561643836
SL006,SL021,19.851945578357814,0.3886138613861386
SL006,SL022,4.620453946815294,0.6386363636363637
SL006,SL023,11.577647602124104,0.8153846153846154
SL006,SL024,23.145944959689103,0.5817901234567902
SL006,SL025,11.22283156785465,0.4494195688225539
SL006,SL026,6.348079298995356,0.41965973534971646
SL006,SL027,7.312916932177824,0.3312302839116719
SL006,SL033,14.454913517354184,0.40816326530612246
SL006,SL034,2.5988599956496867,0.38650306748466257
SL006,SL035,9.095280031277998,0.29354838709677417
SL006,SL037,22.872645313960962,0.7157894736842105
SL006,SL038,7.0630807586519655,0.2986577181208054
SL006,SL040,5.385455521684745,0.3434125269978402
SL006,SL041,11.135303764114212,0.19791666666666666
SL006,SL042,14.279982808966233,0.3002070393374741
SL006,SL044,8.942171592148066,0.4855371900826446
SL006,SL045,20.66958209102436,0.4243421052631579
SL006,SL050,17.842073309350578,0.3668032786885246
SL006,SL054,24.779943053597965,0.36666666666666664
SL006,SL055,14.00225835808955,0.20087336244541484
SL006,SL056,7.739017891267189,0.19700214132762311
SL006,SL062,10.00396909438157,0.5070707070707071
SL006,SL068,9.41922933998422,0.8076923076923077
